###########################################################
#        Neutrino flux table for JHF 50GeV-PS              
# hbk2tbl.kumac File=results/nusk2011-2020.80m.hbk
# nupc06.kek.jp
# /export/nupc06/work1/kobayasi/50gev/beam/0101
# Mon Mar 19 07:28:52 JST 2001
# Takashi Kobayashi (takashi.kobayashi@kek.jp)
# unit is /bin/cm^2/10^21POT
###########################################################
#  Enu(GeV)     Fnue        Fnumu            Fnuebar     Fnumebar      
  0.050       0.61674E+04 0.47600E+05  0.0   0.31348E+03 0.56200E+05   0.0
  0.150       0.78296E+04 0.21440E+06  0.0   0.47565E+03 0.60200E+05   0.0
  0.250       0.79834E+04 0.39458E+06  0.0   0.63294E+03 0.58600E+05   0.0
  0.350       0.68699E+04 0.72802E+06  0.0   0.95763E+03 0.53533E+05   0.0
  0.450       0.71980E+04 0.12596E+07  0.0   0.43742E+03 0.51888E+05   0.0
  0.550       0.69234E+04 0.18803E+07  0.0   0.52806E+03 0.51821E+05   0.0
  0.650       0.73027E+04 0.25546E+07  0.0   0.74119E+03 0.55888E+05   0.0
  0.750       0.68634E+04 0.33323E+07  0.0   0.48274E+03 0.53843E+05   0.0
  0.850       0.83188E+04 0.31116E+07  0.0   0.10303E+04 0.50332E+05   0.0
  0.950       0.51170E+04 0.16004E+07  0.0   0.85763E+03 0.50555E+05   0.0
  1.050       0.52296E+04 0.81364E+06  0.0   0.10446E+04 0.48888E+05   0.0
  1.150       0.44289E+04 0.43729E+06  0.0   0.43817E+03 0.43576E+05   0.0
  1.250       0.47307E+04 0.26186E+06  0.0   0.83555E+03 0.37799E+05   0.0
  1.350       0.44146E+04 0.20304E+06  0.0   0.10756E+04 0.42310E+05   0.0
  1.450       0.36693E+04 0.14942E+06  0.0   0.10708E+04 0.42376E+05   0.0
  1.550       0.36262E+04 0.12064E+06  0.0   0.89063E+03 0.39999E+05   0.0
  1.650       0.43445E+04 0.10570E+06  0.0   0.11393E+04 0.35421E+05   0.0
  1.750       0.30074E+04 0.89148E+05  0.0   0.74491E+03 0.36866E+05   0.0
  1.850       0.31981E+04 0.86504E+05  0.0   0.72771E+03 0.37599E+05   0.0
  1.950       0.33573E+04 0.71104E+05  0.0   0.10487E+04 0.35666E+05   0.0
